BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY DWELLINGS,1,1975000,1975000,1975000,1975000
BROOKLYN,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,3,1975000,3225000,3600000,4100000
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,57,250000,963281,950000,1450000
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,58,495000,1304464,1155000,8530000
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,15,924000,1479633,1470000,1950000
BROOKLYN,EAST NEW YORK,01 ONE FAMILY DWELLINGS,67,213000,483388,500000,910000
BROOKLYN,EAST NEW YORK,02 TWO FAMILY DWELLINGS,173,210000,708446,743000,1600000
BROOKLYN,EAST NEW YORK,03 THREE FAMILY DWELLINGS,57,212940,699489,732500,1064453
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,52,350000,1576376,1655000,3760413
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,55,350000,1379357,1065000,4999999
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS,9,224693,859855,905000,1500000
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,145,200000,621194,603200,2700000
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,123,242500,750641,735000,2300000
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,20,320000,755481,795000,1340612
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,12,677750,1779797,1962500,2285000
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS,21,775000,1335762,1355000,2100000
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY DWELLINGS,4,1075000,1392085,1371670,1750000
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,23,250000,682662,626000,1280500
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,42,223333,772597,705000,1900000
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,7,679800,800257,820000,900000
BROOKLYN,FLATLANDS,01 ONE FAMILY DWELLINGS,33,250000,594803,599000,1200000
BROOKLYN,FLATLANDS,02 TWO FAMILY DWELLINGS,38,304000,670286,677500,898845
BROOKLYN,FLATLANDS,03 THREE FAMILY DWELLINGS,1,817500,817500,817500,817500
BROOKLYN,FORT GREENE,01 ONE FAMILY DWELLINGS,4,2400000,3368750,3587500,3900000
BROOKLYN,FORT GREENE,02 TWO FAMILY DWELLINGS,14,489188,6747796,2604977,62000000
BROOKLYN,FORT GREENE,03 THREE FAMILY DWELLINGS,9,868319,2310258,2175000,4500000
BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,42,235000,541149,572500,829000
BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY DWELLINGS,8,500000,659500,687500,875000
BROOKLYN,GOWANUS,01 ONE FAMILY DWELLINGS,1,1495000,1495000,1495000,1495000
BROOKLYN,GOWANUS,02 TWO FAMILY DWELLINGS,15,450000,1964660,1805000,4250000
BROOKLYN,GOWANUS,03 THREE FAMILY DWELLINGS,3,1500000,1755000,1515000,2250000
BROOKLYN,GRAVESEND,01 ONE FAMILY DWELLINGS,42,304000,872187,830000,2300000
BROOKLYN,GRAVESEND,02 TWO FAMILY DWELLINGS,79,400000,1022447,998000,1600000
BROOKLYN,GRAVESEND,03 THREE FAMILY DWELLINGS,24,420000,1307623,1360000,2050000
BROOKLYN,GREENPOINT,01 ONE FAMILY DWELLINGS,5,965000,1280000,1200000,1850000
BROOKLYN,GREENPOINT,02 TWO FAMILY DWELLINGS,20,250000,1859275,1788750,4700000
BROOKLYN,GREENPOINT,03 THREE FAMILY DWELLINGS,16,1595000,2151875,2025000,3150000
BROOKLYN,KENSINGTON,01 ONE FAMILY DWELLINGS,6,950000,1281666,1149998,1900000
BROOKLYN,KENSINGTON,02 TWO FAMILY DWELLINGS,10,457075,1220083,1200000,1785000
BROOKLYN,KENSINGTON,03 THREE FAMILY DWELLINGS,2,1200000,1322500,1322500,1445000
BROOKLYN,MADISON,01 ONE FAMILY DWELLINGS,75,456300,954847,910000,1999950
BROOKLYN,MADISON,02 TWO FAMILY DWELLINGS,39,525000,1172933,1080000,2140000
BROOKLYN,MADISON,03 THREE FAMILY DWELLINGS,2,1605000,1677500,1677500,1750000
BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,23,495000,1439456,1390000,2625000
BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY DWELLINGS,11,800000,1689673,1330000,3609400
BROOKLYN,MARINE PARK,01 ONE FAMILY DWELLINGS,122,337098,705457,680000,1226000
BROOKLYN,MARINE PARK,02 TWO FAMILY DWELLINGS,50,200000,689653,721500,980000
