BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,CONEY ISLAND,01 ONE FAMILY DWELLINGS,21,"370,000","583,167","600,000","666,000"
BROOKLYN,CONEY ISLAND,02 TWO FAMILY DWELLINGS,1,"675,000","675,000","675,000","675,000"
BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS,20,"560,000","1,494,750","1,413,500","2,500,000"
BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,83,"304,200","1,287,344","1,225,000","3,120,000"
BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS,12,"288,990","1,081,516","1,057,100","1,735,000"
BROOKLYN,CYPRESS HILLS,01 ONE FAMILY DWELLINGS,26,"311,080","636,970","651,000","980,000"
BROOKLYN,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,80,"283,000","747,817","760,000","1,120,075"
BROOKLYN,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,19,"250,000","677,603","667,000","1,150,000"
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY DWELLINGS,1,"1,975,000","1,975,000","1,975,000","1,975,000"
BROOKLYN,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,3,"1,975,000","3,225,000","3,600,000","4,100,000"
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,57,"250,000","963,281","950,000","1,450,000"
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,58,"495,000","1,304,464","1,155,000","8,530,000"
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,15,"924,000","1,479,633","1,470,000","1,950,000"
BROOKLYN,EAST NEW YORK,01 ONE FAMILY DWELLINGS,67,"213,000","483,388","500,000","910,000"
BROOKLYN,EAST NEW YORK,02 TWO FAMILY DWELLINGS,173,"210,000","708,446","743,000","1,600,000"
BROOKLYN,EAST NEW YORK,03 THREE FAMILY DWELLINGS,57,"212,940","699,489","732,500","1,064,453"
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,52,"350,000","1,576,376","1,655,000","3,760,413"
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,55,"350,000","1,379,357","1,065,000","4,999,999"
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS,9,"224,693","859,855","905,000","1,500,000"
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,145,"200,000","621,194","603,200","2,700,000"
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,123,"242,500","750,641","735,000","2,300,000"
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,20,"320,000","755,481","795,000","1,340,612"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,12,"677,750","1,779,797","1,962,500","2,285,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS,21,"775,000","1,335,762","1,355,000","2,100,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY DWELLINGS,4,"1,075,000","1,392,085","1,371,670","1,750,000"
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,23,"250,000","682,662","626,000","1,280,500"
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,42,"223,333","772,597","705,000","1,900,000"
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,7,"679,800","800,257","820,000","900,000"
BROOKLYN,FLATLANDS,01 ONE FAMILY DWELLINGS,33,"250,000","594,803","599,000","1,200,000"
BROOKLYN,FLATLANDS,02 TWO FAMILY DWELLINGS,38,"304,000","670,286","677,500","898,845"
BROOKLYN,FLATLANDS,03 THREE FAMILY DWELLINGS,1,"817,500","817,500","817,500","817,500"
BROOKLYN,FORT GREENE,01 ONE FAMILY DWELLINGS,4,"2,400,000","3,368,750","3,587,500","3,900,000"
BROOKLYN,FORT GREENE,02 TWO FAMILY DWELLINGS,14,"489,188","6,747,796","2,604,977","62,000,000"
BROOKLYN,FORT GREENE,03 THREE FAMILY DWELLINGS,9,"868,319","2,310,258","2,175,000","4,500,000"
BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,42,"235,000","541,149","572,500","829,000"
BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY DWELLINGS,8,"500,000","659,500","687,500","875,000"
BROOKLYN,GOWANUS,01 ONE FAMILY DWELLINGS,1,"1,495,000","1,495,000","1,495,000","1,495,000"
BROOKLYN,GOWANUS,02 TWO FAMILY DWELLINGS,15,"450,000","1,964,660","1,805,000","4,250,000"
BROOKLYN,GOWANUS,03 THREE FAMILY DWELLINGS,3,"1,500,000","1,755,000","1,515,000","2,250,000"
BROOKLYN,GRAVESEND,01 ONE FAMILY DWELLINGS,42,"304,000","872,187","830,000","2,300,000"
BROOKLYN,GRAVESEND,02 TWO FAMILY DWELLINGS,79,"400,000","1,022,447","998,000","1,600,000"
BROOKLYN,GRAVESEND,03 THREE FAMILY DWELLINGS,24,"420,000","1,307,623","1,360,000","2,050,000"
BROOKLYN,GREENPOINT,01 ONE FAMILY DWELLINGS,5,"965,000","1,280,000","1,200,000","1,850,000"
BROOKLYN,GREENPOINT,02 TWO FAMILY DWELLINGS,20,"250,000","1,859,275","1,788,750","4,700,000"
BROOKLYN,GREENPOINT,03 THREE FAMILY DWELLINGS,16,"1,595,000","2,151,875","2,025,000","3,150,000"
BROOKLYN,KENSINGTON,01 ONE FAMILY DWELLINGS,6,"950,000","1,281,666","1,149,998","1,900,000"
BROOKLYN,KENSINGTON,02 TWO FAMILY DWELLINGS,10,"457,075","1,220,083","1,200,000","1,785,000"
BROOKLYN,KENSINGTON,03 THREE FAMILY DWELLINGS,2,"1,200,000","1,322,500","1,322,500","1,445,000"
BROOKLYN,MADISON,01 ONE FAMILY DWELLINGS,75,"456,300","954,847","910,000","1,999,950"
BROOKLYN,MADISON,02 TWO FAMILY DWELLINGS,39,"525,000","1,172,933","1,080,000","2,140,000"
BROOKLYN,MADISON,03 THREE FAMILY DWELLINGS,2,"1,605,000","1,677,500","1,677,500","1,750,000"
BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,23,"495,000","1,439,456","1,390,000","2,625,000"
BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY DWELLINGS,11,"800,000","1,689,673","1,330,000","3,609,400"
BROOKLYN,MARINE PARK,01 ONE FAMILY DWELLINGS,122,"337,098","705,457","680,000","1,226,000"
BROOKLYN,MARINE PARK,02 TWO FAMILY DWELLINGS,50,"200,000","689,653","721,500","980,000"
BROOKLYN,MARINE PARK,03 THREE FAMILY DWELLINGS,3,"860,000","996,667","965,000","1,165,000"
BROOKLYN,MIDWOOD,01 ONE FAMILY DWELLINGS,64,"545,000","1,289,846","985,000","7,000,000"
BROOKLYN,MIDWOOD,02 TWO FAMILY DWELLINGS,31,"219,294","1,179,993","1,105,000","2,200,010"
BROOKLYN,MIDWOOD,03 THREE FAMILY DWELLINGS,5,"245,000","1,023,514","1,200,000","2,000,000"
BROOKLYN,MILL BASIN,01 ONE FAMILY DWELLINGS,35,"460,000","1,111,921","999,000","2,100,000"
BROOKLYN,MILL BASIN,02 TWO FAMILY DWELLINGS,18,"825,000","1,053,944","970,000","1,950,000"
BROOKLYN,MILL BASIN,03 THREE FAMILY DWELLINGS,1,"887,500","887,500","887,500","887,500"
BROOKLYN,NAVY YARD,02 TWO FAMILY DWELLINGS,1,"1,100,000","1,100,000","1,100,000","1,100,000"
BROOKLYN,NAVY YARD,03 THREE FAMILY DWELLINGS,2,"980,000","1,102,600","1,102,600","1,225,200"
BROOKLYN,OCEAN HILL,01 ONE FAMILY DWELLINGS,4,"390,000","873,750","752,500","1,600,000"
BROOKLYN,OCEAN HILL,02 TWO FAMILY DWELLINGS,65,"433,000","1,104,845","1,050,000","2,080,000"
BROOKLYN,OCEAN HILL,03 THREE FAMILY DWELLINGS,30,"267,264","917,755","855,000","1,715,000"
BROOKLYN,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,58,"252,010","1,593,086","1,187,500","9,000,000"
BROOKLYN,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS,52,"720,000","1,703,200","1,525,000","4,790,000"
BROOKLYN,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS,16,"340,000","1,512,692","1,624,715","2,697,500"
BROOKLYN,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,22,"760,000","2,478,800","1,999,970","6,500,000"
BROOKLYN,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS,49,"330,057","1,197,749","1,008,068","4,180,000"
BROOKLYN,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS,10,"253,500","1,090,850","1,110,000","1,490,000"
BROOKLYN,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,77,"262,500","604,300","610,000","1,235,613"
BROOKLYN,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,23,"210,000","657,478","655,000","920,000"
BROOKLYN,OLD MILL BASIN,03 THREE FAMILY DWELLINGS,2,"950,000","962,500","962,500","975,000"
BROOKLYN,PARK SLOPE,01 ONE FAMILY DWELLINGS,12,"1,500,000","3,757,583","3,737,500","6,190,000"
BROOKLYN,PARK SLOPE,02 TWO FAMILY DWELLINGS,32,"875,000","3,025,255","2,975,000","4,740,000"
BROOKLYN,PARK SLOPE,03 THREE FAMILY DWELLINGS,29,"967,337","2,944,481","2,901,000","5,103,750"
BROOKLYN,PARK SLOPE SOUTH,01 ONE FAMILY DWELLINGS,9,"625,000","1,760,000","1,790,000","2,850,000"
BROOKLYN,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,24,"510,000","1,887,060","1,861,500","2,999,000"
BROOKLYN,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS,7,"350,000","1,734,286","2,000,000","2,300,000"
BROOKLYN,PROSPECT HEIGHTS,01 ONE FAMILY DWELLINGS,9,"2,200,000","2,578,322","2,275,000","4,999,900"
