BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,GLEN OAKS,01 ONE FAMILY DWELLINGS,13,"549,000","817,063","680,000","1,619,018"
QUEENS,GLEN OAKS,02 TWO FAMILY DWELLINGS,1,"1,050,000","1,050,000","1,050,000","1,050,000"
QUEENS,GLENDALE,01 ONE FAMILY DWELLINGS,62,"470,000","695,740","689,000","1,195,000"
QUEENS,GLENDALE,02 TWO FAMILY DWELLINGS,86,"290,243","813,202","827,500","1,260,000"
QUEENS,GLENDALE,03 THREE FAMILY DWELLINGS,7,"525,000","946,286","970,000","1,350,000"
QUEENS,HAMMELS,01 ONE FAMILY DWELLINGS,3,"379,500","467,833","435,000","589,000"
QUEENS,HAMMELS,02 TWO FAMILY DWELLINGS,8,"355,914","682,447","694,500","1,050,658"
QUEENS,HAMMELS,03 THREE FAMILY DWELLINGS,1,"635,000","635,000","635,000","635,000"
QUEENS,HILLCREST,01 ONE FAMILY DWELLINGS,23,"550,000","794,851","710,000","1,300,000"
QUEENS,HILLCREST,02 TWO FAMILY DWELLINGS,2,"990,000","990,000","990,000","990,000"
QUEENS,HOLLIS,01 ONE FAMILY DWELLINGS,135,"200,000","577,563","590,000","999,000"
QUEENS,HOLLIS,02 TWO FAMILY DWELLINGS,41,"300,000","674,316","730,000","990,000"
QUEENS,HOLLIS,03 THREE FAMILY DWELLINGS,4,"660,000","716,250","717,500","770,000"
QUEENS,HOLLIS HILLS,01 ONE FAMILY DWELLINGS,27,"445,000","931,969","900,000","1,800,000"
QUEENS,HOLLISWOOD,01 ONE FAMILY DWELLINGS,32,"660,000","1,066,859","962,500","2,500,000"
QUEENS,HOLLISWOOD,02 TWO FAMILY DWELLINGS,2,"750,000","970,000","970,000","1,190,000"
QUEENS,HOLLISWOOD,03 THREE FAMILY DWELLINGS,1,"735,000","735,000","735,000","735,000"
QUEENS,HOWARD BEACH,01 ONE FAMILY DWELLINGS,112,"245,000","705,335","720,000","1,499,999"
QUEENS,HOWARD BEACH,02 TWO FAMILY DWELLINGS,37,"200,000","805,341","840,000","995,000"
QUEENS,HOWARD BEACH,03 THREE FAMILY DWELLINGS,1,"281,639","281,639","281,639","281,639"
QUEENS,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,59,"350,000","793,501","830,000","1,520,000"
QUEENS,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS,55,"260,000","920,609","905,000","1,700,000"
QUEENS,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,22,"728,150","1,194,052","1,190,000","1,900,000"
QUEENS,JAMAICA,01 ONE FAMILY DWELLINGS,16,"310,000","706,760","641,000","1,875,000"
QUEENS,JAMAICA,02 TWO FAMILY DWELLINGS,28,"250,000","821,250","835,000","1,700,000"
QUEENS,JAMAICA,03 THREE FAMILY DWELLINGS,10,"315,000","938,612","1,100,000","1,340,000"
QUEENS,JAMAICA BAY,01 ONE FAMILY DWELLINGS,6,"325,000","462,333","434,500","640,000"
QUEENS,JAMAICA BAY,02 TWO FAMILY DWELLINGS,1,"640,000","640,000","640,000","640,000"
QUEENS,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,35,"500,000","1,258,445","1,120,075","3,500,000"
QUEENS,JAMAICA ESTATES,02 TWO FAMILY DWELLINGS,3,"350,000","746,667","580,000","1,310,000"
QUEENS,JAMAICA HILLS,01 ONE FAMILY DWELLINGS,17,"312,500","775,476","770,000","1,110,000"
QUEENS,JAMAICA HILLS,02 TWO FAMILY DWELLINGS,8,"700,000","937,069","933,275","1,235,000"
QUEENS,JAMAICA HILLS,03 THREE FAMILY DWELLINGS,4,"900,000","1,202,500","1,285,000","1,340,000"
QUEENS,KEW GARDENS,01 ONE FAMILY DWELLINGS,24,"485,000","990,064","855,000","2,500,000"
QUEENS,KEW GARDENS,02 TWO FAMILY DWELLINGS,6,"580,000","777,500","775,000","960,000"
QUEENS,KEW GARDENS,03 THREE FAMILY DWELLINGS,2,"980,000","1,240,000","1,240,000","1,500,000"
QUEENS,LAURELTON,01 ONE FAMILY DWELLINGS,145,"220,000","537,179","550,000","1,075,000"
QUEENS,LAURELTON,02 TWO FAMILY DWELLINGS,33,"313,100","686,061","725,000","998,000"
QUEENS,LAURELTON,03 THREE FAMILY DWELLINGS,2,"595,000","682,500","682,500","770,000"
QUEENS,LITTLE NECK,01 ONE FAMILY DWELLINGS,75,"360,000","940,478","865,000","2,800,000"
QUEENS,LITTLE NECK,02 TWO FAMILY DWELLINGS,10,"950,000","1,301,166","1,268,500","1,710,660"
QUEENS,LONG ISLAND CITY,01 ONE FAMILY DWELLINGS,2,"1,680,000","1,739,500","1,739,500","1,799,000"
QUEENS,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS,10,"950,000","1,538,290","1,525,000","2,550,000"
QUEENS,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS,7,"570,000","1,502,347","1,081,431","3,130,000"
QUEENS,MASPETH,01 ONE FAMILY DWELLINGS,59,"230,000","695,571","747,000","1,150,000"
QUEENS,MASPETH,02 TWO FAMILY DWELLINGS,73,"213,000","893,858","897,000","1,475,000"
