BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,HILLCREST,01 ONE FAMILY DWELLINGS,23,550000,794851,710000,1300000
QUEENS,HILLCREST,02 TWO FAMILY DWELLINGS,2,990000,990000,990000,990000
QUEENS,HOLLIS,01 ONE FAMILY DWELLINGS,135,200000,577563,590000,999000
QUEENS,HOLLIS,02 TWO FAMILY DWELLINGS,41,300000,674316,730000,990000
QUEENS,HOLLIS,03 THREE FAMILY DWELLINGS,4,660000,716250,717500,770000
QUEENS,HOLLIS HILLS,01 ONE FAMILY DWELLINGS,27,445000,931969,900000,1800000
QUEENS,HOLLISWOOD,01 ONE FAMILY DWELLINGS,32,660000,1066859,962500,2500000
QUEENS,HOLLISWOOD,02 TWO FAMILY DWELLINGS,2,750000,970000,970000,1190000
QUEENS,HOLLISWOOD,03 THREE FAMILY DWELLINGS,1,735000,735000,735000,735000
QUEENS,HOWARD BEACH,01 ONE FAMILY DWELLINGS,112,245000,705335,720000,1499999
QUEENS,HOWARD BEACH,02 TWO FAMILY DWELLINGS,37,200000,805341,840000,995000
QUEENS,HOWARD BEACH,03 THREE FAMILY DWELLINGS,1,281639,281639,281639,281639
QUEENS,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,59,350000,793501,830000,1520000
QUEENS,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS,55,260000,920609,905000,1700000
QUEENS,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,22,728150,1194052,1190000,1900000
QUEENS,JAMAICA,01 ONE FAMILY DWELLINGS,16,310000,706760,641000,1875000
QUEENS,JAMAICA,02 TWO FAMILY DWELLINGS,28,250000,821250,835000,1700000
QUEENS,JAMAICA,03 THREE FAMILY DWELLINGS,10,315000,938612,1100000,1340000
QUEENS,JAMAICA BAY,01 ONE FAMILY DWELLINGS,6,325000,462333,434500,640000
QUEENS,JAMAICA BAY,02 TWO FAMILY DWELLINGS,1,640000,640000,640000,640000
QUEENS,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,35,500000,1258445,1120075,3500000
QUEENS,JAMAICA ESTATES,02 TWO FAMILY DWELLINGS,3,350000,746667,580000,1310000
QUEENS,JAMAICA HILLS,01 ONE FAMILY DWELLINGS,17,312500,775476,770000,1110000
QUEENS,JAMAICA HILLS,02 TWO FAMILY DWELLINGS,8,700000,937069,933275,1235000
QUEENS,JAMAICA HILLS,03 THREE FAMILY DWELLINGS,4,900000,1202500,1285000,1340000
QUEENS,KEW GARDENS,01 ONE FAMILY DWELLINGS,24,485000,990064,855000,2500000
