BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
STATEN ISLAND,NEW BRIGHTON-ST. GEORGE,02 TWO FAMILY DWELLINGS,1,1615000,1615000,1615000,1615000
STATEN ISLAND,NEW DORP,01 ONE FAMILY DWELLINGS,56,250000,616666,626000,1250000
STATEN ISLAND,NEW DORP,02 TWO FAMILY DWELLINGS,28,445000,782151,785000,1089528
STATEN ISLAND,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS,41,200000,444960,432000,655000
STATEN ISLAND,NEW DORP-BEACH,02 TWO FAMILY DWELLINGS,10,250000,678748,650788,960210
STATEN ISLAND,NEW DORP-HEIGHTS,01 ONE FAMILY DWELLINGS,48,350000,631120,592500,1175000
STATEN ISLAND,NEW DORP-HEIGHTS,02 TWO FAMILY DWELLINGS,11,475000,773994,813000,1064071
STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,101,260000,568870,595000,900000
STATEN ISLAND,NEW SPRINGVILLE,02 TWO FAMILY DWELLINGS,46,320000,752387,752500,925000
STATEN ISLAND,OAKWOOD,01 ONE FAMILY DWELLINGS,31,212940,657934,640000,1100000
STATEN ISLAND,OAKWOOD,02 TWO FAMILY DWELLINGS,1,905000,905000,905000,905000
STATEN ISLAND,OAKWOOD-BEACH,01 ONE FAMILY DWELLINGS,43,261105,662935,630000,893000
STATEN ISLAND,OAKWOOD-BEACH,02 TWO FAMILY DWELLINGS,9,375000,746333,810000,870000
STATEN ISLAND,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,23,407628,742761,640000,1310000
STATEN ISLAND,PLEASANT PLAINS,02 TWO FAMILY DWELLINGS,21,425000,995872,1064071,1501919
STATEN ISLAND,PORT IVORY,01 ONE FAMILY DWELLINGS,15,232500,348850,345000,485000
STATEN ISLAND,PORT IVORY,02 TWO FAMILY DWELLINGS,12,304100,574046,520000,794235
STATEN ISLAND,PORT RICHMOND,01 ONE FAMILY DWELLINGS,74,200000,425876,449500,675000
STATEN ISLAND,PORT RICHMOND,02 TWO FAMILY DWELLINGS,35,250000,499531,500000,780000
STATEN ISLAND,PORT RICHMOND,03 THREE FAMILY DWELLINGS,5,290000,526276,510000,711730
STATEN ISLAND,PRINCES BAY,01 ONE FAMILY DWELLINGS,48,208125,709470,644750,1815000
STATEN ISLAND,PRINCES BAY,02 TWO FAMILY DWELLINGS,46,266625,970267,957500,1629200
STATEN ISLAND,RICHMONDTOWN,01 ONE FAMILY DWELLINGS,48,425000,810412,782500,1300000
STATEN ISLAND,RICHMONDTOWN,02 TWO FAMILY DWELLINGS,3,725000,776000,790000,813000
STATEN ISLAND,RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY DWELLINGS,11,710500,984351,900000,1700000
STATEN ISLAND,ROSEBANK,01 ONE FAMILY DWELLINGS,53,300000,561284,550000,965000
STATEN ISLAND,ROSEBANK,02 TWO FAMILY DWELLINGS,15,320000,630036,650000,933617
STATEN ISLAND,ROSEBANK,03 THREE FAMILY DWELLINGS,2,780000,1031000,1031000,1282000
STATEN ISLAND,ROSSVILLE,01 ONE FAMILY DWELLINGS,49,315000,573314,550000,965000
STATEN ISLAND,ROSSVILLE,02 TWO FAMILY DWELLINGS,19,250000,738347,700000,1200000
STATEN ISLAND,ROSSVILLE-CHARLESTON,01 ONE FAMILY DWELLINGS,17,325000,641971,670000,850000
STATEN ISLAND,ROSSVILLE-CHARLESTON,02 TWO FAMILY DWELLINGS,7,436020,585643,640000,729000
STATEN ISLAND,ROSSVILLE-RICHMOND VALLEY,01 ONE FAMILY DWELLINGS,2,685000,1042500,1042500,1400000
STATEN ISLAND,ROSSVILLE-RICHMOND VALLEY,02 TWO FAMILY DWELLINGS,6,869000,1037586,990757,1425000
STATEN ISLAND,SILVER LAKE,01 ONE FAMILY DWELLINGS,23,525000,748783,680000,2110000
STATEN ISLAND,SILVER LAKE,02 TWO FAMILY DWELLINGS,13,400000,755222,735000,1150000
STATEN ISLAND,SOUTH BEACH,01 ONE FAMILY DWELLINGS,96,210000,555667,554750,1110000
STATEN ISLAND,SOUTH BEACH,02 TWO FAMILY DWELLINGS,24,317500,664396,678000,992794
STATEN ISLAND,SOUTH BEACH,03 THREE FAMILY DWELLINGS,1,430000,430000,430000,430000
STATEN ISLAND,STAPLETON,01 ONE FAMILY DWELLINGS,27,200000,428767,418000,975000
STATEN ISLAND,STAPLETON,02 TWO FAMILY DWELLINGS,12,200000,459436,409500,906243
STATEN ISLAND,STAPLETON,03 THREE FAMILY DWELLINGS,3,495000,643000,690000,744000
STATEN ISLAND,STAPLETON-CLIFTON,01 ONE FAMILY DWELLINGS,9,420000,508667,518000,600000
STATEN ISLAND,STAPLETON-CLIFTON,02 TWO FAMILY DWELLINGS,3,605000,821442,894024,965301
STATEN ISLAND,SUNNYSIDE,01 ONE FAMILY DWELLINGS,22,332478,578934,590000,825000
STATEN ISLAND,SUNNYSIDE,02 TWO FAMILY DWELLINGS,10,390000,705600,737000,889000
STATEN ISLAND,TODT HILL,01 ONE FAMILY DWELLINGS,19,500000,1610876,1340000,3450000
STATEN ISLAND,TODT HILL,02 TWO FAMILY DWELLINGS,1,500000,500000,500000,500000
STATEN ISLAND,TOMPKINSVILLE,01 ONE FAMILY DWELLINGS,16,332000,551843,444000,1200000
STATEN ISLAND,TOMPKINSVILLE,02 TWO FAMILY DWELLINGS,4,360000,565500,596000,710000
STATEN ISLAND,TOTTENVILLE,01 ONE FAMILY DWELLINGS,112,240000,628307,588500,1175000
STATEN ISLAND,TOTTENVILLE,02 TWO FAMILY DWELLINGS,59,400000,823896,848000,1300000
STATEN ISLAND,TRAVIS,01 ONE FAMILY DWELLINGS,46,283920,513494,520013,711757
STATEN ISLAND,TRAVIS,02 TWO FAMILY DWELLINGS,8,410000,633974,652500,936790
STATEN ISLAND,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS,83,200000,479871,455000,930000
STATEN ISLAND,WEST NEW BRIGHTON,02 TWO FAMILY DWELLINGS,38,275000,563648,478500,950000
STATEN ISLAND,WEST NEW BRIGHTON,03 THREE FAMILY DWELLINGS,2,335000,351250,351250,367500
STATEN ISLAND,WESTERLEIGH,01 ONE FAMILY DWELLINGS,93,266110,577107,565000,1080000
STATEN ISLAND,WESTERLEIGH,02 TWO FAMILY DWELLINGS,19,275000,737100,765000,939900
STATEN ISLAND,WESTERLEIGH,03 THREE FAMILY DWELLINGS,3,675000,675000,675000,675000
STATEN ISLAND,WILLOWBROOK,01 ONE FAMILY DWELLINGS,74,270000,598064,590585,1280000
STATEN ISLAND,WILLOWBROOK,02 TWO FAMILY DWELLINGS,23,253549,662768,745000,910000
STATEN ISLAND,WOODROW,01 ONE FAMILY DWELLINGS,69,368000,582575,585000,1300000
STATEN ISLAND,WOODROW,02 TWO FAMILY DWELLINGS,46,400000,745061,693000,1750000
